variable,level,description
trial_033_rt_sec,emotion-recognition trial,Response time in seconds
trial_033_face_age,emotion-recognition trial,Stimulus age category
trial_033_face_gender,emotion-recognition trial,Stimulus gender category
trial_033_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_034_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_034_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_034_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_034_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_034_response_emotion,emotion-recognition trial,Participant response
trial_034_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_034_rt_sec,emotion-recognition trial,Response time in seconds
trial_034_face_age,emotion-recognition trial,Stimulus age category
trial_034_face_gender,emotion-recognition trial,Stimulus gender category
trial_034_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_035_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_035_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_035_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_035_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_035_response_emotion,emotion-recognition trial,Participant response
trial_035_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_035_rt_sec,emotion-recognition trial,Response time in seconds
trial_035_face_age,emotion-recognition trial,Stimulus age category
trial_035_face_gender,emotion-recognition trial,Stimulus gender category
trial_035_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_036_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_036_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_036_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_036_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_036_response_emotion,emotion-recognition trial,Participant response
trial_036_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_036_rt_sec,emotion-recognition trial,Response time in seconds
trial_036_face_age,emotion-recognition trial,Stimulus age category
trial_036_face_gender,emotion-recognition trial,Stimulus gender category
trial_036_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_037_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_037_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_037_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_037_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_037_response_emotion,emotion-recognition trial,Participant response
trial_037_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_037_rt_sec,emotion-recognition trial,Response time in seconds
trial_037_face_age,emotion-recognition trial,Stimulus age category
trial_037_face_gender,emotion-recognition trial,Stimulus gender category
trial_037_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_038_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_038_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_038_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_038_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_038_response_emotion,emotion-recognition trial,Participant response
trial_038_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_038_rt_sec,emotion-recognition trial,Response time in seconds
trial_038_face_age,emotion-recognition trial,Stimulus age category
trial_038_face_gender,emotion-recognition trial,Stimulus gender category
trial_038_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_039_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_039_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_039_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_039_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_039_response_emotion,emotion-recognition trial,Participant response
trial_039_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_039_rt_sec,emotion-recognition trial,Response time in seconds
trial_039_face_age,emotion-recognition trial,Stimulus age category
trial_039_face_gender,emotion-recognition trial,Stimulus gender category
trial_039_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_040_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_040_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_040_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_040_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_040_response_emotion,emotion-recognition trial,Participant response
trial_040_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_040_rt_sec,emotion-recognition trial,Response time in seconds
trial_040_face_age,emotion-recognition trial,Stimulus age category
trial_040_face_gender,emotion-recognition trial,Stimulus gender category
trial_040_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_041_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_041_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_041_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_041_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_041_response_emotion,emotion-recognition trial,Participant response
trial_041_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_041_rt_sec,emotion-recognition trial,Response time in seconds
trial_041_face_age,emotion-recognition trial,Stimulus age category
trial_041_face_gender,emotion-recognition trial,Stimulus gender category
trial_041_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_042_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_042_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_042_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_042_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_042_response_emotion,emotion-recognition trial,Participant response
trial_042_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_042_rt_sec,emotion-recognition trial,Response time in seconds
trial_042_face_age,emotion-recognition trial,Stimulus age category
trial_042_face_gender,emotion-recognition trial,Stimulus gender category
trial_042_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_043_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_043_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_043_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_043_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_043_response_emotion,emotion-recognition trial,Participant response
trial_043_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_043_rt_sec,emotion-recognition trial,Response time in seconds
trial_043_face_age,emotion-recognition trial,Stimulus age category
trial_043_face_gender,emotion-recognition trial,Stimulus gender category
trial_043_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_044_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_044_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_044_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_044_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_044_response_emotion,emotion-recognition trial,Participant response
trial_044_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_044_rt_sec,emotion-recognition trial,Response time in seconds
trial_044_face_age,emotion-recognition trial,Stimulus age category
trial_044_face_gender,emotion-recognition trial,Stimulus gender category
trial_044_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_045_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_045_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_045_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_045_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_045_response_emotion,emotion-recognition trial,Participant response
trial_045_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_045_rt_sec,emotion-recognition trial,Response time in seconds
trial_045_face_age,emotion-recognition trial,Stimulus age category
trial_045_face_gender,emotion-recognition trial,Stimulus gender category
trial_045_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_046_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_046_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_046_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_046_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_046_response_emotion,emotion-recognition trial,Participant response
trial_046_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_046_rt_sec,emotion-recognition trial,Response time in seconds
trial_046_face_age,emotion-recognition trial,Stimulus age category
trial_046_face_gender,emotion-recognition trial,Stimulus gender category
trial_046_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_047_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_047_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_047_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_047_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_047_response_emotion,emotion-recognition trial,Participant response
trial_047_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_047_rt_sec,emotion-recognition trial,Response time in seconds
trial_047_face_age,emotion-recognition trial,Stimulus age category
trial_047_face_gender,emotion-recognition trial,Stimulus gender category
trial_047_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_048_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_048_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_048_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_048_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_048_response_emotion,emotion-recognition trial,Participant response
trial_048_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_048_rt_sec,emotion-recognition trial,Response time in seconds
trial_048_face_age,emotion-recognition trial,Stimulus age category
trial_048_face_gender,emotion-recognition trial,Stimulus gender category
trial_048_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_049_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_049_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_049_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_049_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_049_response_emotion,emotion-recognition trial,Participant response
trial_049_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_049_rt_sec,emotion-recognition trial,Response time in seconds
trial_049_face_age,emotion-recognition trial,Stimulus age category
trial_049_face_gender,emotion-recognition trial,Stimulus gender category
trial_049_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_050_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_050_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_050_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_050_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_050_response_emotion,emotion-recognition trial,Participant response
trial_050_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_050_rt_sec,emotion-recognition trial,Response time in seconds
trial_050_face_age,emotion-recognition trial,Stimulus age category
trial_050_face_gender,emotion-recognition trial,Stimulus gender category
trial_050_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_051_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_051_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_051_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_051_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_051_response_emotion,emotion-recognition trial,Participant response
trial_051_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_051_rt_sec,emotion-recognition trial,Response time in seconds
trial_051_face_age,emotion-recognition trial,Stimulus age category
trial_051_face_gender,emotion-recognition trial,Stimulus gender category
trial_051_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_052_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_052_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_052_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_052_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_052_response_emotion,emotion-recognition trial,Participant response
trial_052_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_052_rt_sec,emotion-recognition trial,Response time in seconds
trial_052_face_age,emotion-recognition trial,Stimulus age category
trial_052_face_gender,emotion-recognition trial,Stimulus gender category
trial_052_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_053_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_053_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_053_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_053_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_053_response_emotion,emotion-recognition trial,Participant response
trial_053_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_053_rt_sec,emotion-recognition trial,Response time in seconds
trial_053_face_age,emotion-recognition trial,Stimulus age category
trial_053_face_gender,emotion-recognition trial,Stimulus gender category
trial_053_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_054_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_054_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_054_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_054_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_054_response_emotion,emotion-recognition trial,Participant response
trial_054_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_054_rt_sec,emotion-recognition trial,Response time in seconds
trial_054_face_age,emotion-recognition trial,Stimulus age category
trial_054_face_gender,emotion-recognition trial,Stimulus gender category
trial_054_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_055_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_055_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_055_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_055_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_055_response_emotion,emotion-recognition trial,Participant response
trial_055_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_055_rt_sec,emotion-recognition trial,Response time in seconds
trial_055_face_age,emotion-recognition trial,Stimulus age category
trial_055_face_gender,emotion-recognition trial,Stimulus gender category
trial_055_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_056_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_056_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_056_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_056_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_056_response_emotion,emotion-recognition trial,Participant response
trial_056_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_056_rt_sec,emotion-recognition trial,Response time in seconds
trial_056_face_age,emotion-recognition trial,Stimulus age category
trial_056_face_gender,emotion-recognition trial,Stimulus gender category
trial_056_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_057_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_057_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_057_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_057_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_057_response_emotion,emotion-recognition trial,Participant response
trial_057_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_057_rt_sec,emotion-recognition trial,Response time in seconds
trial_057_face_age,emotion-recognition trial,Stimulus age category
trial_057_face_gender,emotion-recognition trial,Stimulus gender category
trial_057_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_058_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_058_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_058_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_058_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_058_response_emotion,emotion-recognition trial,Participant response
trial_058_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_058_rt_sec,emotion-recognition trial,Response time in seconds
trial_058_face_age,emotion-recognition trial,Stimulus age category
trial_058_face_gender,emotion-recognition trial,Stimulus gender category
trial_058_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_059_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_059_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_059_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_059_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_059_response_emotion,emotion-recognition trial,Participant response
trial_059_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_059_rt_sec,emotion-recognition trial,Response time in seconds
trial_059_face_age,emotion-recognition trial,Stimulus age category
trial_059_face_gender,emotion-recognition trial,Stimulus gender category
trial_059_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_060_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_060_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_060_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_060_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_060_response_emotion,emotion-recognition trial,Participant response
trial_060_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_060_rt_sec,emotion-recognition trial,Response time in seconds
trial_060_face_age,emotion-recognition trial,Stimulus age category
trial_060_face_gender,emotion-recognition trial,Stimulus gender category
trial_060_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_061_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_061_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_061_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_061_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_061_response_emotion,emotion-recognition trial,Participant response
trial_061_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_061_rt_sec,emotion-recognition trial,Response time in seconds
trial_061_face_age,emotion-recognition trial,Stimulus age category
trial_061_face_gender,emotion-recognition trial,Stimulus gender category
trial_061_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_062_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_062_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_062_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_062_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_062_response_emotion,emotion-recognition trial,Participant response
trial_062_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_062_rt_sec,emotion-recognition trial,Response time in seconds
trial_062_face_age,emotion-recognition trial,Stimulus age category
trial_062_face_gender,emotion-recognition trial,Stimulus gender category
trial_062_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_063_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_063_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_063_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_063_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_063_response_emotion,emotion-recognition trial,Participant response
trial_063_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_063_rt_sec,emotion-recognition trial,Response time in seconds
trial_063_face_age,emotion-recognition trial,Stimulus age category
trial_063_face_gender,emotion-recognition trial,Stimulus gender category
trial_063_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_064_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_064_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_064_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_064_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_064_response_emotion,emotion-recognition trial,Participant response
trial_064_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_064_rt_sec,emotion-recognition trial,Response time in seconds
trial_064_face_age,emotion-recognition trial,Stimulus age category
trial_064_face_gender,emotion-recognition trial,Stimulus gender category
trial_064_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_065_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_065_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_065_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_065_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_065_response_emotion,emotion-recognition trial,Participant response
trial_065_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_065_rt_sec,emotion-recognition trial,Response time in seconds
trial_065_face_age,emotion-recognition trial,Stimulus age category
trial_065_face_gender,emotion-recognition trial,Stimulus gender category
trial_065_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_066_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_066_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_066_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_066_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_066_response_emotion,emotion-recognition trial,Participant response
trial_066_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_066_rt_sec,emotion-recognition trial,Response time in seconds
trial_066_face_age,emotion-recognition trial,Stimulus age category
trial_066_face_gender,emotion-recognition trial,Stimulus gender category
trial_066_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_067_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_067_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_067_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_067_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_067_response_emotion,emotion-recognition trial,Participant response
trial_067_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_067_rt_sec,emotion-recognition trial,Response time in seconds
trial_067_face_age,emotion-recognition trial,Stimulus age category
trial_067_face_gender,emotion-recognition trial,Stimulus gender category
trial_067_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_068_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_068_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_068_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_068_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_068_response_emotion,emotion-recognition trial,Participant response
trial_068_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_068_rt_sec,emotion-recognition trial,Response time in seconds
trial_068_face_age,emotion-recognition trial,Stimulus age category
trial_068_face_gender,emotion-recognition trial,Stimulus gender category
trial_068_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_069_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_069_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_069_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_069_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_069_response_emotion,emotion-recognition trial,Participant response
trial_069_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_069_rt_sec,emotion-recognition trial,Response time in seconds
trial_069_face_age,emotion-recognition trial,Stimulus age category
trial_069_face_gender,emotion-recognition trial,Stimulus gender category
trial_069_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_070_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_070_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_070_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_070_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_070_response_emotion,emotion-recognition trial,Participant response
trial_070_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_070_rt_sec,emotion-recognition trial,Response time in seconds
trial_070_face_age,emotion-recognition trial,Stimulus age category
trial_070_face_gender,emotion-recognition trial,Stimulus gender category
trial_070_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_071_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_071_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_071_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_071_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_071_response_emotion,emotion-recognition trial,Participant response
trial_071_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_071_rt_sec,emotion-recognition trial,Response time in seconds
trial_071_face_age,emotion-recognition trial,Stimulus age category
trial_071_face_gender,emotion-recognition trial,Stimulus gender category
trial_071_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_072_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_072_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_072_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_072_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_072_response_emotion,emotion-recognition trial,Participant response
trial_072_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_072_rt_sec,emotion-recognition trial,Response time in seconds
trial_072_face_age,emotion-recognition trial,Stimulus age category
trial_072_face_gender,emotion-recognition trial,Stimulus gender category
trial_072_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_073_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_073_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_073_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_073_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_073_response_emotion,emotion-recognition trial,Participant response
trial_073_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_073_rt_sec,emotion-recognition trial,Response time in seconds
trial_073_face_age,emotion-recognition trial,Stimulus age category
trial_073_face_gender,emotion-recognition trial,Stimulus gender category
trial_073_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_074_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_074_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
